Name_HG,Image_HG,Slogan,Tags,Price,Player,Time,Age,Year,Manufacture,Equipment,Url_game_hg,Transliterated_name
КвестМастер: Пиратский остров,https://hobbygames.ru/image/cache/hobbygames_beta/data/Style_Jizny/Kvest_Master/Piratskij_ostrov/HG/Kvestmaster_Piratskiy_Ostriv-1000x416-wm.jpg,Для начала украдём карту сокровищ,"КвестМастер,Игры для компании,Квесты,Кооперативные игры,Логические игры,Приключенческие игры,Семейные игры",690 ,2-6,60-70,12+,2021,Стиль Жизни,"64 двухсторонние карты ,Размер коробки: 175x125x40 мм,Вес: 0.33 кг",https://hobbygames.ru/kvestmaster-piratskij-ostrov,KvestMaster: Piratskij ostrov
Алхимики,https://hobbygames.ru/image/cache/hobbygames_beta/data/Gaga/Alchimiki/HG/Alhimiki-1000x416-wm.jpg,Бросайте всё в котел!,"Алхимики,Игры для компании,Семейные игры,Стратегические игры",3 490 ,2-4,120+,14+,2020,GaGa Games,"Двухстороннее игровое поле,Поле теорий,Планшет выставки,4 лабораторные ширмы,4 треугольника результатов,4 планшета игроков,6 жетонов искателей приключений,2 жетона конференций,5 жетонов грантов,8 алхимических жетонов,104 жетона результатов,36 жетонов золотых монет,44 жетона печатей (по 11 печатей каждого цвета),6 жетонов противоречий,Жетон первого игрока,8 жетонов ингредиентов,Поле ведущего,40 карт ингредиентов,22 карты услуг,18 карт артефактов,16 карт скидок,8 пластиковых колб (по 2 каждого цвета),24 пластиковых куба (по 6 каждого цвета),Блокнот с таблицами формул,Контейнеры для жетонов,Правила игры ,Размер коробки: 300x300x75 мм,Вес: 2.294 кг",https://hobbygames.ru/alhimiki,Alhimiki
Таверна,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Taverna_KD/Pirushka_v_stile_kung_fu/Taverna-KD5_1-1000x416-wm.jpg,"Кто больше выпил, тот и мастер","Вечериночные игры,Игры для взрослых,Игры для компании,Карточные игры,Таверна ""Красный Дракон""",1 790 ,2-4,30-60,18+,2020,Hobby World,"4 колоды персонажей по 40 карт в каждой,30 карт выпивки,18 особых карт,4 планшета игроков,4 жетона стойкости,4 жетона опьянения,Жетон фляги,50 жетонов золотых монет,Правила игры ,Размер коробки: 255х255х62 мм,Размер карт: 63x89 мм (рекомендуются протекторы из данного раздела,208 шт.),Вес: 0.745 кг",https://hobbygames.ru/taverna-krasnij-drakon-pirushka-v-stile-kung-fu,Taverna
Смешарики. Бесконечный праздник,https://hobbygames.ru/image/cache/hobbygames_beta/data/Style_Jizny/Smeshariki_Beskonechnyj_prazdnik/HG/Smeshariki_Beskonechnyj_prazdnik00-1000x416-wm.JPG,Что пропало?,"Детские игры,Игры для компании,Семейные игры",590 ,2-6,15,5+,2023,Стиль Жизни,"54 двухсторонние карты,Правила игры ,Размер коробки: 128x177x43 мм,Вес: 0.28 кг",https://hobbygames.ru/smeshariki-beskonechnij-prazdnik,Smeshariki. Beskonechnyj prazdnik
Свинтус: Выкрутасы,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Svintus/Svintus_vykrutasy/Swintus_vykrutasy_roznica-1000x416-wm.jpg,Коуч – страшный зверь!,"Вечериночные игры,Игры в дорогу,Игры для компании,Свинтус,Игры на внимание,Карточные игры",990 ,2-10,15+,6+,2019,Hobby World,"64 цифровые карты,48 карт предписаний,8 карт коучей,48 карт выкрутасов,12 пустых карт выкрутасов для вашего творчества,Правила игры ,Размер коробки: 235x157x47 мм,Размер карт: 63x89 мм,Вес: 0.385 кг",https://hobbygames.ru/svintus-vikrutasi,Svintus: Vykrutasy
Ужас Аркхэма. Карточная игра: Проклятие ругару,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Ujas_Arkhema/Rugaru/Photos/AHLCG_Curse_Of_The_Rougarou00-1000x416-wm.jpg,Приготовьтесь к встрече с оборотнем,"Живые карточные игры (LCG),Ужас Аркхэма. Карточная игра,Вселенная Лавкрафта,Ужас Аркхэма (Arkham Horror Files),Хардкорные игры",790 ,1-2,60-120,14+,2019,Hobby World,"62 карты,Лист сценария ,Размер коробки 135х68х28 мм,Размер карт: 63x89 мм (рекомендуются протекторы из данного раздела,62 шт.),Вес: 0.115 кг",https://hobbygames.ru/uzhas-arkhjema-kartochnaja-igra-prokljatie-rugaru,Uzhas Arkhema. Kartochnaja igra: Prokljatie rugaru
Вечная зима. Северное сияние,https://hobbygames.ru/image/cache/hobbygames_beta/data/Gaga/Vechnaya_Zima/Dopolneniya/vechnaya_zima_severnoe_siyanie-1000x416-wm.JPG,Чудеса первозданных земель,"Вечная зима,Карточные игры,Приключенческие игры,Стратегические игры,Хардкорные игры,Экономические игры",490 ,1-4,60-120,12+,2022,GaGa Games,"Размер упаковки: 120х70х3 мм,Размер карт: 59х92 мм,Вес: 0.15 кг",https://hobbygames.ru/vechnaja-zima-severnoe-sijanie,Vechnaja zima. Severnoe sijanie
Эверделл: Острые хребты. Делюкс,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Everdell/Ostrye_Khrebty_Deluxe/hg/khrebty-1000x416-wm.jpg,К таинственным склонам!,"Эверделл,Семейные игры,Стратегические игры,Экономические игры",4 490 ,1-4,40-100,10+,2022,Hobby World,"42 карты открытий,12 карт погоды,Игровое поле,30 жетонов маршрута,6 фишек лис,6 фишек кротов,6 фишек сов,6 фишек ящериц,4 фишки лягушек,15 фишек зайцев-исследователей,8 сëдел,8 фишек крупных существ,12 жетонов победных очков,Правила дополнения ,Размер коробки: 298х298х36 мм,Размер карт: 64х89 мм (рекомендуются протекторы из данного раздела,42 шт.),45х64 мм,Вес: 1.17 кг",https://hobbygames.ru/jeverdell-ostrie-hrebti-deljuks,Everdell: Ostrye hrebty. Deljuks
Крокодил,https://hobbygames.ru/image/cache/hobbygames_beta/data/Magellan/Crocodile/Izdanie_2021/HG/Krokodil-1000x416-wm.jpg,"Гена, на!","Вечериночные игры,Крокодил,Игры для компании,Командные игры,Кооперативные игры,Семейные игры",1 990 ,4-16,45,10+,2021,Magellan,"160 карт со словами,36 карт усложнений,Таблица для подсчёта очков,Маркер,Песочные часы,Правила игры ,Размер коробки: 258x258x64 мм,Вес: 0.5 кг",https://hobbygames.ru/krokodil,Krokodil
Цербер: Сокровища преисподней,https://hobbygames.ru/image/cache/hobbygames_beta/data/Evrikus/Cerber/Sokrovishcha_Preispodnej/HG/Cerber_Sokrovicha_Preispodey-1000x416-wm.jpg,Придётся вернуться к трёхголовому,"Цербер,Игры для компании,Семейные игры",1 490 ,3-7,45+,10+,2021,Эврикус,"3 двухсторонних участка игрового поля,16 карт поддержки,6 карт коварства ,7 карт сокровищ,4 жетона ,Правила дополнения ,Размер коробки:140x265x48 мм,Размер карт: 63x89 мм (рекомендуются протекторы из данного раздела,29 шт.),Вес: 0.3 кг",https://hobbygames.ru/cerber-sokrovishha-preispodnej,Tserber: Sokrovischa preispodnej
