Name_HG,Image_HG,Slogan,Tags,Price,Player,Time,Age,Year,Manufacture,Equipment,Url_game_hg,Transliterated_name
Gloomhaven. Мрачная гавань: Челюсти льва,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Gloomhaven_Jaws_of_the_Lion/HG/Jaws_of_the_lion_00-1000x416-wm.JPG,Лучшие наёмники города,"Gloomhaven,Кооперативные игры,Приключенческие игры,Стратегические игры,Хардкорные игры",5 990 ,1-4,30-120,13+,2021,Hobby World,"Поле кампании,8 фигурок персонажей,4 планшета персонажей,12 коробочек персонажей,4 блокнота персонажей,4 счётчика здоровья/опыта,Планшет заряда стихий,565 карт,97 фишек монстров,223 жетона,Лист с наклейками,24 пластиковые подставки,4 конверта характеристик монстров,Правила игры,2 книги сценариев,Справочник ,Размер коробки: 292x229x120 мм,Размер малых карт: 44x67 мм (рекомендуются протекторы из данного раздела,375 шт.),Размер средних карт: 63x89 мм (рекомендуются протекторы из данного раздела,174 шт.),Размер больших карт: 101x101 мм (16 шт.),Вес: 2.93 кг",https://hobbygames.ru/gloomhaven-mrachnaja-gavan-cheljusti-lva,Gloomhaven. Mrachnaja gavan': Cheljusti l'va
Эпичные схватки боевых магов: Крутагидон,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Shvatki_Magov/Krutagidon/ESW_Deckbuilding_box_3d-roznica-1000x416-wm.jpg,Мордобой всех мордобоев,"Вечериночные игры,Выбор настольщика 2022,Игры для взрослых,Игры для компании,Карточные игры,Эпичные схватки боевых магов",1 790 ,2-5,45-60,18+,2020,Hobby World,"230 карт,5 черепушек для отсчёта жизней,8 жетонов колдунских свойств,8 планшетов колдунов,20 жетонов дохлых колдунов,Р’льех,Главный приз Крутагидона,Правила игры ,Размер коробки 277x194x67 мм,Размер карт 63х89 мм (рекомендуются протекторы из данного раздела,230 шт.),Вес: 0.85 кг",https://hobbygames.ru/jepichnie-shvatki-boevih-magov-krutagidon,Epichnye shvatki boevyh magov: Krutagidon
Roll Player Adventures: Приключения в Улосе,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Roll_Player_Adventures/HG/RPA_00-1000x416-wm.JPG,Героические похождения,"Кооперативные игры,Приключенческие игры,Стратегические игры",11 990 ,1-4,90-150,13+,2023,Hobby World,"12 книг приключений,Книга встреч,Книга навыков,6 двухсторонних полей приключений,4 планшета персонажей,25 бланков персонажей,10 бланков отряда,Мешочек для кубиков,36 кубиков характеристик,15 кубиков фамильяров,Фигурка отряда,40 фишек опыта,3 фишки благосклонности,3 фишки раунда,30 золотых,95 фишек стойкости,14 жетонов стойкости,Фишка отдыха,10 жетонов встреч,8 бонусных фишек,6 жетонов событий,Жетон стража,103 карты открытий,107 карт титулов,38 карт модификаторов,61 карта врагов,60 карт редкостей,36 карт классов,15 карт фамильяров,53 карты портретов,129 карт рынка,4 карты-памятки ,Размер коробки: 392x300x145 мм,Размер карт: 120х79 мм (рекомендуются протекторы из данного раздела,65 шт.),Размер карт: 63х89 мм (рекомендуются протекторы из данного раздела,470 шт.),Размер карт: 44x67 мм (рекомендуются протекторы из данного раздела,38 шт.),Размер карт: 41x63 мм (рекомендуются протекторы из данного раздела,36 шт.),Вес: 6.52 кг",https://hobbygames.ru/roll-player-adventures-prikljuchenija-v-ulose,Roll Player Adventures: Prikljuchenija v Ulose
Штиль,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Shtil/Photos/Shtil_00-1000x416-wm.jpg,Ветер молчит!,"Игры для компании,Кооперативные игры,Семейные игры",990 ,1-5,20+,8+,2021,Hobby World,"80 карт островов,5 карт старта,5 карт финиша,25 карт границ,18 карт бурных морей,2 карты памяток,Правила игры ,Размер коробки: 235x157x47 мм,Размер карт: 69х69 мм (рекомендуются протекторы из данного раздела,135 шт.),Вес: 0.315 кг",https://hobbygames.ru/shtil,Shtil'
Взрывные котята 18+,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Explosive_Kitten/18/Kotyata18_00-1000x416-wm.jpg,Горячая версия!,"Вечериночные игры,Взрывные котята,Выбор настольщика 2022,Игры для взрослых,Игры для компании,Карточные игры",990 ,2-5,15+,18+,2020,Hobby World,"56 карт,Правила игры ,Размер коробки: 165x114x41 мм,Размер карт: 63x88 мм (рекомендуются протекторы из данного раздела,56 шт.),Вес: 0.25 кг",https://hobbygames.ru/vzrivnie-kotjata-18,Vzryvnye kotjata 18+
Гача,https://hobbygames.ru/image/cache/hobbygames_beta/data/Magellan/Gasha/HG/Gasha_00-1000x416-wm.JPG,Что вам достанется?,"Игры для компании,Карточные игры",790 ,2-6,20,7+,2023,Magellan,"75 гача-карт,35 карт наград,16 жетонов бонусов,Правила игры ,Размер коробки: 105x197x40 мм,Размер карт: 56x87 мм (рекомендуются протекторы из данного раздела,110 шт.),Вес: 0.25 кг",https://hobbygames.ru/gacha,Gacha
Агрикола,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Agricola/agrikola_3D_roznica-1000x416-wm.jpg,Настало время стать земледельцем!,"Агрикола,Семейные игры,Стратегические игры,Хардкорные игры,Экономические игры",5 490 ,1-4,90+,12+,2016,Hobby World,"Составной игровой планшет,2 расширения,4 планшета ферм,Планшет для улучшений,39 жетонов полей и комнат,2 альтернативных жетона,Жетон ""Подработка"",44 жетона еды,3 маркера подсказок,10 маркеров товаров,120 карт (действия,улучшения и профессии),Блокнот,Лист наклеек,Приложение,Деревянные компоненты: ,18 овец,15 свиней,13 коров,30 древесины,24 глины,14 тростника,16 камня,24 зерна,16 овощей,Фишка первого игрока,60 изгородей,16 хлевов,20 родичей,Правила игры ,Размер коробки: 316х226х72 мм,Размер карт: 59х91 мм (рекомендуются протекторы из данного раздела,120 шт.),Рекомендуемые органайзеры для хранения компонентов: ,UTS Token ONE (4 шт.),UCF Standart 20 мм (2 шт.),UTS Euro Token (2 шт.),Вес: 1.815 кг",https://hobbygames.ru/agrikola-novoe-izdanie,Agrikola
Русский манчкин,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Munchkin/Russian/Photos/Munchkin_Russian00-1000x416-wm.jpg,Сварим кашу из топора?,"Выбор настольщика 2022,Игры в дорогу,Манчкин,Игры для компании,Карточные игры",990 ,3-6,30+,12+,2020,Hobby World,"168 карт,Кубик,Правила игры ,Размер коробки: 235x157x47 мм,Размер карт: 56x87 мм (рекомендуются протекторы из данного раздела,168 шт.),Вес: 0.35 кг",https://hobbygames.ru/russkij-manchkin,Russkij manchkin
Ужас Аркхэма. Карточная игра,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Ujas_Arkhema/UA_cardgame/JKI_UjasArkhama-1000x416-wm.jpg,Столкнитесь с потаёнными страхами!,"Живые карточные игры (LCG),Ужас Аркхэма. Карточная игра,Детективные игры,Вселенная Лавкрафта,Выбор настольщика 2022,Ужас Аркхэма (Arkham Horror Files),Хардкорные игры",2 490 ,1-2,60-120,14+,2018,Hobby World,"Справочник,Книга сценариев,5 карт сыщиков,5 мини-карт сыщиков,110 карт сценариев,119 карт игроков,30 жетонов ресурсов,44 жетона хаоса,18 жетонов ужаса,27 жетонов ран,30 жетонов улик/безысходности,Правила игры ,Размер коробки: 255х255х62 мм,Размер карт: 63x89 мм (рекомендуются протекторы из данного раздела,234 шт.),Размер карт: 41х63 мм (рекомендуются протекторы из данного раздела,5 шт.),Вес: 0.915 кг",https://hobbygames.ru/uzhas-arkhjema-kartochnaja-igra,Uzhas Arkhema. Kartochnaja igra
Culinario Mortale: Смертельный рецепт,https://hobbygames.ru/image/cache/hobbygames_beta/data/Magellan/Culinario_Mortale/Recipe_for_Death/hg/Smertelniy_Recept-1000x416-wm.jpg,Приятного аппетита!,"Новинки 2022 года,Детективные игры,Игры для взрослых,Игры для компании,Кооперативные игры",990 ,5-7,120-180,18+,2022,Magellan,"Буклет с сюжетом,7 буклетов персонажей,7 табличек персонажей,Лист с кодом,Правила игры ,Размер коробки: 115x225x20 мм,Вес: 0.26 кг",https://hobbygames.ru/culinario-mortale-smertelnij-recept,Culinario Mortale: Smertel'nyj retsept
Предназначение,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Destinies/destinies_00-1000x416-wm.jpg,Ангел смерти на пороге мира!,"Предназначение,Приключенческие игры",4 990 ,1-3,120-150,13+,2021,Hobby World,"67 фрагментов карты,3 игровых планшета,15 карт предназначений,150 карт предметов,36 фишек навыков,30 фигурок персонажей,1 большая фигурка Ангела смерти,15 кубиков,20 жетонов торговли,20 жетонов монет,20 жетонов опыта,26 жетонов особых мест,Правила игры ,Размер коробки: 300x300x75 мм,Размер карт: 58x88 мм(рекомендуются протекторы из данного раздела,165 шт.),Вес: 1.665 кг",https://hobbygames.ru/prednaznachenie,Prednaznachenie
Азул,https://hobbygames.ru/image/cache/hobbygames_beta/data/Zvezda/Azul/Photos/Azul-1000x416-wm.jpg,Украсьте стены королевского дворца!,"Азул,Логические игры,Семейные игры,Стратегические игры",3 990 ,2-4,30-40,8+,2018,Zvezda,"100 пластиковых плиток (по 20 штук каждого из 5 цветов),4 планшета игроков,9 дисков складов,4 фишки подсчёта очков,Жетон первого игрока,Мешочек,Правила игры ,Размер коробки: 260x260x70 мм,Вес: 1.245 кг",https://hobbygames.ru/azul,Azul
Предвидение,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Predvidenie/HG/predvidenie-1000x416-wm.JPG,"Постапокалиптический ""дед Мазай""","Карточные игры,Командные игры,Кооперативные игры,Стратегические игры,Хардкорные игры",3 990 ,2-4,60,12+,2023,Hobby World,"4 планшета кораблей,12 планшетов отсеков,Жетон с подсказкой,96 карт экспедиций,8 карт выбора,8 памяток,15 жетонов реки,Жетон путешествия,Подставка,50 фишек людей,24 жетона целей,3 жетона островов,40 фишек имунов,48 жетонов аккумуляторов,38 жетонов ""5 людей/имунов"",32 жетона ""10 еды"",4 кубика еды,4 кубика угроз ,Размер коробки: 298x298x71 мм,Размер карт: 63x88 мм (рекомендуются протекторы из данного раздела,112 шт.),Вес: 1.58 кг",https://hobbygames.ru/predvidenie,Predvidenie
Сопротивление,https://hobbygames.ru/image/cache/hobbygames_beta/data/Magellan/Resistance/Soprotivlenie-1000x416-wm.jpg,Движение против потока,"Вечериночные игры,Игры в дорогу,Мафия,Игры для компании,Карточные игры,Командные игры",990 ,5-10,30+,13+,2018,Magellan,"10 карт персонажей,Жетон лидера,5 командных жетонов,20 жетонов для голосования — по 10 жетонов ""за"" и ""против"",10 карт миссий — 5 карт успеха и 5 карт провала,15 сюжетных карт,5 двухсторонних жетонов результата,3 поля для подсчёта результатов,Жетон голосования,Жетон текущей миссии,Коллекционный магнит,Правила игры ,Размер коробки: 233х155х47 мм,Вес: 0.375 кг",https://hobbygames.ru/soprotivlenie-2-e-izd,Soprotivlenie
Camel Up (Русское издание),https://hobbygames.ru/image/cache/hobbygames_beta/data/Choo_Choo_Games/Camel_Up/hg/camel_up-1000x416-wm.jpg,Верблюжьи гонки!,"Вечериночные игры,Игры для компании,Семейные игры",4 190 ,3-8,30,8+,2022,Choo Choo Games,"Игровое поле,Пирамида для кубиков,5 гоночных верблюдов,2 диких верблюда,5 кубиков гоночных верблюдов,Серый кубик,40 карт финиша,8 карт сотрудничества,20 жетонов ставок,5 жетонов пирамиды,8 жетонов зрителей,80 египетских фунтов,Жетон первого игрока,Правила игры ,Размер коробки: 298x298x73 мм,Вес: 1.28 кг",https://hobbygames.ru/camel-up-russkoe-izdanie,Camel Up (Russkoe izdanie)
Книга-игра,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Escape_Quest_Tainy_Salema/HG/salem-1000x416-wm.JPG,Подземелья города ведьм,"Escape Quest,Детективные игры,Книги-игры,Приключенческие игры",990 ,1+,180,12+,2023,Hobby World,"Мягкая обложка,100 страниц ,Размер издания: 190х270х6 мм,Вес: 0.254 кг",https://hobbygames.ru/kniga-igra-escape-quest-tajni-salema,Kniga-igra
Catan. Быстрая карточная игра,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Catan/Card_Game/catan_card_game_00-1000x416-wm.jpg,Ускоренная колонизация,"Карточные игры,Семейные игры,Стратегические игры,Экономические игры",790 ,2-4,30,8+,2022,Hobby World,"67 карт сырья,38 карт развития,Промокарта ""Собор"",4 памятки,Карта судьбы,Правила игры ,Размер коробки 150x105x37 мм,Размер карт 56x87 мм (рекомендуются протекторы из данного раздела,110 шт.),Вес: 0.2 кг",https://hobbygames.ru/catan-bistraja-kartochnaja-igra,Catan. Bystraja kartochnaja igra
Дом Павлова,https://hobbygames.ru/image/cache/hobbygames_beta/data/Gaga/Dom_Pavlova/dom_pavlova-1000x416-wm.JPG,Героическая оборона,"Карточные игры,Стратегические игры,Хардкорные игры",3 990 ,1-3,60-75,14+,2022,GaGa Games,"Игровое поле,140 карт,102 фишки,72 жетона,5 шестигранных кубиков,Правила игры ,Размер коробки: 226х315х73 мм,Размер карт: 63,5х88 мм (рекомендуем протекторы из данного раздела,140 шт.),Вес: 1.716 кг",https://hobbygames.ru/dom-pavlova,Dom Pavlova
Воображарий,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Vobrajariy/voobrazarij-3ed00-1000x416-wm.jpg,Устрой игровую вечеринку для друзей!,"Вечериночные игры,Воображарий,Игры для компании,Семейные игры",1 290 ,3-9,30+,12+,2016,Hobby World,"147 двухсторонних карт заданий,27 карт действия,Песочные часы,Правила игры ,Размер коробки: 255х255х62 мм,Вес: 0.59 кг",https://hobbygames.ru/voobrazharij-3-e-rus-izd,Voobrazharij
Эверделл: Фестиваль,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Everdell/Bellfaire/bellfaire_00-1000x416-wm.jpg,Праздник длиною в год!,"Игры для компании,Эверделл,Семейные игры,Стратегические игры,Экономические игры",3 990 ,1-6,40-120,10+,2021,Hobby World,"Поле фестиваля,6 планшетов игроков,Жетон Ругворта,15 карт способностей,7 жетонов церемонии награждения,4 карты леса,6 фишек красных кардиналов,6 фишек жаб,8 жетонов аксолотлей,4 жетона рынка,Планшет рынка,2 фишки послов-лягушек,Жетон фестиваля цветов,9 карт особых событий,Правила игры ,Размер коробки: 298x298x36 мм,Размер малых карт: 43x65 мм (рекомендуются протекторы из данного раздела,28 шт.),Вес: 1.165 кг",https://hobbygames.ru/jeverdell-festival,Everdell: Festival'
Шакал: Архипелаг,https://hobbygames.ru/image/cache/hobbygames_beta/data/Magellan/Shakal_Arhipelag/2020/Shakal_Archipelag-1000x416-wm.jpg,Ещё больше открытий,"Игры для компании,Шакал,Приключенческие игры,Семейные игры",1 490 ,2-4,30-45,6+,2020,Magellan,"55 клеток,4 клетки кораблей ,12 фигурок пиратов ,16 монет ,9 карт пиратских способностей,4 бутылки с посланиями,Фигурка миссионера,Наклейки для обозначения пиратских способностей.,Шестигранный кубик,Памятка ,Правила игры,Размер коробки: 255x255x60 мм,Вес: 0.555 кг",https://hobbygames.ru/shakal-arhipelag-izdanie-2020,Shakal: Arhipelag
Лимпопо,https://hobbygames.ru/image/cache/hobbygames_beta/data/Fabrika_Igr/Limpopo/HG/Limpopo-1000x416-wm.jpg,Все бегом на водопой!,"Детские игры,Карточные игры,Логические игры,Семейные игры",490 ,2-4,15+,6+,2022,Фабрика игр,"64 карты,Водопой,Правила игры ,Размер коробки: 95x155x25 мм,Вес: 0.088 кг",https://hobbygames.ru/limpopo,Limpopo
Паранормальный детектив,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Paranormalny_Detective/Photos/Paranormal_3d_right-1-1000x416-wm.jpg,Начинаем спиритический сеанс,"Детективные игры,Игры для взрослых,Игры для компании,Кооперативные игры,Логические игры",2 990 ,2-6,45+,18+,2020,Hobby World,"Игровое поле,35 карт контактов,17 карт Таро,3 призрачные карты контактов,28 карт историй,5 ширм детективов,5 планшетов детективов,Планшет призрака,Планшет призрачной бумаги,6 стираемых маркеров,2 проволочные верёвки ,5 указателей для спиритической доски,10 жетонов повреждений,3 жетона для призракометра,Правила игры ,Размер коробки: 298x298x71 мм,Размер карт (контактов и Таро): 56x87 мм (рекомендуются протекторы из данного раздела,55 шт.),Размер карт историй: 79x120 мм (рекомендуются данные протекторы,28 шт.),Размер поля: 520x280 мм,Размер планшетов: ,150х210 (5 шт.) ,130х180 (1 шт.),79х120 (1 шт.),Вес: 1.05 кг",https://hobbygames.ru/paranormalnij-detektiv,Paranormal'nyj detektiv
Fluxx: Зомби,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Fluxx/Fluxx_Zombie/2021/HG/Fluxx_Zomby-1000x416-wm.jpg,Проблема решается двустволкой,"Вечериночные игры,Игры в дорогу,Игры для компании,Игры на внимание,Карточные игры,Fluxx",790 ,2-6,10-40,12+,2014,Hobby World,"100 карт,Правила игры ,Размеры коробки: 197x105x37 мм,Размер карт: 56х87 мм,Вес: 0.25 кг",https://hobbygames.ru/fluxx-zombi,Fluxx: Zombi
Манчкин: Хипстеры,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Munchkin/Munchkin_Hipstery/Manchkin_Hipstery00-1000x416-wm.jpg,Есть риск быть покусанным хипстером!,"Манчкин,Игры для компании,Карточные игры",390 ,3-6,30+,12+,2017,Hobby World,"30 карт,Правила игры ,Размер коробки: 135х68х28 мм,Размер карт: 56x87 мм,Вес: 0.054 кг",https://hobbygames.ru/manchkin-hipsteri,Manchkin: Hipstery
Книга-игра,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Escape_Quest_Tajni_Marsa/Mystere_sur_Mars_00-1000x416-wm.jpg,Установите контакт с истиной,"Escape Quest,Книги-игры,Приключенческие игры",990 ,1+,180,12+,2023,Hobby World,"Мягкая обложка,92 страницы ,Размер издания: 190х270х6 мм,Вес: 0.3 кг",https://hobbygames.ru/kniga-igra-escape-quest-tajni-marsa,Kniga-igra
Хугермугер Сиквел,https://hobbygames.ru/image/cache/hobbygames_beta/data/Games_Corporation/Hugermuger_Sikvel/HugerMugerSikvel00-1000x416-wm.jpg,Новые Битвы и задания,"Вечериночные игры,Игры для компании,Карточные игры,Семейные игры",690 ,3-10,30+,14+,2019,Games Corporation,"101 игральная карта,Правила игры ,Размер коробки: 110x115x40 мм,Вес: 0.185 кг",https://hobbygames.ru/hugermuger-sikvel,Hugermuger Sikvel
"Каркассон: Граф, король и культ",https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Karkasson/Graf_korol_i_kult/Kakasson_graf_1-1000x416-wm.jpg,За кем идти и кому поклоняться?,"Каркассон,Игры для компании,Семейные игры,Стратегические игры",990 ,2-6,40+,7+,2020,Hobby World,"2 двухсторонних планшета крепости Каркассон,Фишка графа,5 новых квадратов местности,5 квадратов с капищем,12 новых квадратов с рекой,Квадрат короля,2 жетона короля,Квадрат рыцаря-разбойника,2 жетона рыцаря-разбойника,Правила игры ,Размер коробки: 190x137x64 мм,Вес: 0.275 кг",https://hobbygames.ru/karkasson-graf-korol-i-kult,"Karkasson: Graf, korol' i kul't"
Смертельные материалы: Амнезия,https://hobbygames.ru/image/cache/hobbygames_beta/data/Magellan/Smertelnie_Materiali_Amnesia/HG/smertelnie_materialy-1000x416-wm.jpg,Вспомнить и выжить,"Смертельные материалы,Новинки 2022 года,Детективные игры,Игры для взрослых,Игры для компании,Квесты,Кооперативные игры,Логические игры",490 ,1-6,90,18+,2022,Magellan,"96 карт,Правила игры ,Размер коробки: 105x197x40 мм,Размер карт: 63x89 мм (рекомендуются протекторы из данного раздела,96 шт.),Вес: 0.15 кг",https://hobbygames.ru/smertelnie-materiali-amnezija,Smertel'nye materialy: Amnezija
Ужас Аркхэма. Карточная игра: Путь в Каркозу,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Arkham_Horror/Uzhas_Arkkhehma_Put_V_Karkozu00-1000x416-wm.jpg,Вы видели Жёлтый знак?,"Живые карточные игры (LCG),Путь в Каркозу,Ужас Аркхэма. Карточная игра,Вселенная Лавкрафта,Ужас Аркхэма (Arkham Horror Files),Хардкорные игры",1 990 ,1-2,60-120,14+,2019,Hobby World,"6 карт сыщиков,6 мини-карт сыщиков,88 карт сценариев,62 карты игроков,Книга сценариев ,Размер коробки: 204x204x47 мм,Размер карт: 63x89 мм (рекомендуются протекторы из данного раздела,156 шт.),Размер карт: 41х63 мм (рекомендуются протекторы из данного раздела,6 шт.),Вес: 0.45 кг",https://hobbygames.ru/uzhas-arkhjema-kartochnaja-igra-put-v-karkozu,Uzhas Arkhema. Kartochnaja igra: Put' v Karkozu
Loonacy,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Fluxx/Fluxx_Loonacy/Loonacy00-1000x416-wm.jpg,Простая и увлекательная игра на быстроту реакции,"Вечериночные игры,Выбор настольщика 2022,Игры в дорогу,Игры для компании,На ловкость,Игры на внимание,Карточные игры,Loonacy,Семейные игры",490 ,2-5,5-10,8+,2015,Hobby World,"100 карт,Правила игры,Размер коробки: 152х107x37 мм,Размер карт: 56x87 мм,Вес: 0.2 кг",https://hobbygames.ru/loonacy,Loonacy
Трамвай смерти: Добряки и негодяи,https://hobbygames.ru/image/cache/hobbygames_beta/data/Magellan/Tramvay_Smerti/Dobryaki_i_negodyai/dobryaki_i_negodyai_00-1000x416-wm.jpg,"Агнцы и козлища, зёрна и плевела","Трамвай смерти,Вечериночные игры,Игры для взрослых,Игры для компании",790 ,3-13,15,18+,2022,Magellan,"98 карт добряков и негодяев ,Размер коробки: 197x105x40 мм,Размер карт: 63x89 мм (рекомендуются протекторы из данного раздела,98 шт.),Вес: 0.206 кг",https://hobbygames.ru/tramvaj-smerti-dobrjaki-i-negodjai,Tramvaj smerti: Dobrjaki i negodjai
Океаны,https://hobbygames.ru/image/cache/hobbygames_beta/data/Pravilnye_igry/Evolution_Okeany/Okeany-1000x416-wm.jpg,Что таят морские глубины?,"Игры для компании,Карточные игры,Эволюция,Семейные игры,Стратегические игры",3 490 ,2-4,60-90,12+,2021,Правильные Игры,"120 карт поверхности,89 карт глубин,200 фишек популяции,25 карт сценариев,24 планшета видов,Составное поле Рифа,Составное поле Океана,4 ширмы игроков,4 бонусных жетона,Карта ""Кембрийский взрыв"",Справочник,Памятки,Правила игры ,Размер коробки: 297x297x70 мм,Размер карт: 63x89 мм (рекомендуются протекторы из данного раздела,209 шт.),41x63 мм (рекомендуются протекторы из данного раздела,25 шт.),Вес: 1.18 кг",https://hobbygames.ru/jevoljucija-estestvennij-otbor-okeani,Okeany
EXIT-Квест: Катакомбы ужаса,https://hobbygames.ru/image/cache/hobbygames_beta/data/Zvezda/EXIT_kvest/Katakombi_Uzhasa/HG/exit_katakombi_ujasa-1000x416-wm.jpg,Успеете спасти друга?,"Детективные игры,Квесты,Кооперативные игры,Логические игры,EXIT-Квест,Семейные игры",1 490 ,1-4,120-240,14+,2022,Zvezda,"Диск декодер,118 игровых карточек,9 странных предметов,Прозрачная подставка,Книга,Полароидный снимок,Письмо Бена,Сложенный постер,Картина в рамке,Закрытая коробка с секретным содержимым,Правила игры ,Размер коробки: 242x242x57 мм,Вес: 0.525 кг",https://hobbygames.ru/exit-kvest-katakombi-uzhasa,EXIT-Kvest: Katakomby uzhasa
Космический контакт: Космический доминион,https://hobbygames.ru/image/cache/hobbygames_beta/data/HobbyWorld/Kosmicheskij_kontakt/Kosmicheskij_dominion/HG/kosmicheskiy_kontakt_kosmicheskiy_dominion-1000x416-wm.jpg,"Время показать, в чём сила!","Космический контакт,Игры для компании,Стратегические игры",1 990 ,3-5,60-120,13+,2022,Hobby World,"30 листов пришельцев,62 карты,Жетон круизного лайнера,9 жетонов Шута,2 жетона Инь-Ян,Жетон угрозы,8 маркеров кораблей,Правила игры ,Размер коробки: 157x235x47 мм,Размер карт: 57x89 мм (рекомендуются протекторы из данного раздела,62 шт.),Вес: 0.434 кг",https://hobbygames.ru/kosmicheskij-kontakt-kosmicheskij-dominion,Kosmicheskij kontakt: Kosmicheskij dominion
Minecraft: Builders and Biomes. Farmer's Market Expansion,https://hobbygames.ru/image/cache/hobbygames_beta/data/Ravensburger/Minecraft/Farmers_Market/HG/Minecraft_Farmers_Market_Expansion-1000x416-wm.jpg,Выращивайте и торгуйте!,"Minecraft,Семейные игры,Стратегические игры",1 890 ,2-4,30-60,10+,2021,Ravensburger,"20 карточек зданий,18 карточек предметов,32 жетона овощей,6 скинов персонажей,3 памятки с предметам,Планшет рынка,Вес: 0.62 кг",https://hobbygames.ru/minecraft-builders-and-biomes-farmer-s-market-expancion,Minecraft: Builders and Biomes. Farmer's Market Expansion
Ночь Ниндзя,https://hobbygames.ru/image/cache/hobbygames_beta/data/Gaga/Noch_Nindzja/hg/Noch_Nindzya-1000x416-wm.jpg,"""Под покровом темноты
	Первой жертвой будешь ты!""","Вечериночные игры,Игры для компании,Карточные игры",1 890 ,4-11,15-30,12+,2022,GaGa Games,"33 карты ниндзя,11 карт кланов,35 жетонов чести,11 памяток,11 подставок под памятки,Мешочек для жетонов,Правила ,Размер коробки: 205x205x50 мм,Вес: 0.565 кг",https://hobbygames.ru/noch-nindzja,Noch' Nindzja
Атлантида,https://hobbygames.ru/image/cache/hobbygames_beta/data/Neskuchnye_Igry/Atlantida/Atlantida-1000x416-wm.jpg,Остров вот-вот утонет!,"Игры для компании,Семейные игры",1 590 ,2-4,30+,9+,2019,Нескучные Игры,"84 жетона пути,24 жетона воды,105 карт передвижения,4 фишки мостов,12 деревянных жителей,Жетон Атлантиды,Жетон Материка,Правила игры ,Размер коробки: 280x195x65 мм,Вес: 0.73 кг",https://hobbygames.ru/atlantida,Atlantida
Набор классических игр: Шахматы и шашки (290x150x48),https://hobbygames.ru/image/cache/hobbygames_beta/data/10_Korolevstvo/Shahmaty/03879-1000x416-wm.jpg,Шах – и в дамки!,"Шашки,Шахматы,Наборы,Классические игры,Семейные игры",1 250 ,2+,,5+,2019,Десятое королевство,"Игровое поле размером 290x300x24 мм,32 пластмассовые фигуры,24 пластмассовые фишки ,Размер коробки: 290x150x48 мм ,Вес: 0.64 кг",https://hobbygames.ru/shahmati-i-shashki-plastmassovie-v-derevjannoj-upakovke-290x150x48,Nabor klassicheskih igr: Shahmaty i shashki (290x150x48)
"Лисы, куры, 5 яиц!",https://hobbygames.ru/image/cache/hobbygames_beta/data/Style_Jizny/Lisi_Kuri_5_jaic/Lisi_Kuri_5_jaic_00-1000x416-wm.JPG,Режиссёр: Гав Ричи,"Игры для компании,Карточные игры,Семейные игры",490 ,2-8,20,8+,2023,Стиль Жизни,"55 карт,24 жетона очков,Правила игры ,Размер коробки: 127x177x40 мм,Вес: 0.295 кг",https://hobbygames.ru/lisi-kuri-5-jaic,"Lisy, kury, 5 jaits!"
